EmployeeNumber,Over18,StandardHours,Age,Department,JobRole,BusinessTravel,MaritalStatus,MonthlyIncome,WorkLifeBalance,YearsAtCompany,JobSatisfaction,PerformanceRating,Attrition
1,Y,80,56,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,3582,4,0,2,3,No
2,Y,80,46,Research & Development,Sales Executive,Travel_Rarely,Married,16374,1,9,3,3,No
3,Y,80,32,Research & Development,Manager,Travel_Rarely,Married,3308,2,13,2,4,No
4,Y,80,25,Research & Development,Manufacturing Director,Travel_Rarely,Married,10793,4,17,4,3,No
5,Y,80,38,Research & Development,Laboratory Technician,Non-Travel,Single,3620,1,5,3,3,Yes
6,Y,80,56,Sales,Sales Executive,Travel_Frequently,Married,6766,2,17,3,3,No
7,Y,80,36,Sales,Sales Executive,Travel_Rarely,Single,7192,3,19,3,3,No
8,Y,80,40,Sales,Laboratory Technician,Non-Travel,Married,8622,3,15,1,3,No
9,Y,80,28,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,8093,1,14,3,3,No
10,Y,80,28,Sales,Sales Executive,Non-Travel,Single,18484,1,15,2,3,No
11,Y,80,41,Human Resources,Laboratory Technician,Non-Travel,Single,2237,4,7,1,4,No
12,Y,80,53,Sales,Research Scientist,Travel_Frequently,Married,13110,3,12,1,3,No
13,Y,80,57,Research & Development,Manufacturing Director,Travel_Rarely,Married,8073,1,10,1,4,No
14,Y,80,41,Sales,Manufacturing Director,Non-Travel,Single,4542,3,6,1,4,No
15,Y,80,20,Research & Development,Manufacturing Director,Non-Travel,Divorced,17282,3,16,1,4,No
16,Y,80,39,Human Resources,Research Scientist,Travel_Rarely,Divorced,12195,4,17,1,3,No
17,Y,80,19,Research & Development,Laboratory Technician,Travel_Rarely,Married,3537,2,18,1,3,No
18,Y,80,41,Research & Development,Manager,Travel_Frequently,Divorced,19138,4,12,3,3,No
19,Y,80,47,Sales,Laboratory Technician,Travel_Frequently,Divorced,13560,1,14,4,3,No
20,Y,80,55,Research & Development,Sales Executive,Travel_Frequently,Married,15434,4,0,2,3,No
21,Y,80,19,Sales,Manufacturing Director,Travel_Rarely,Divorced,9396,4,15,2,3,No
22,Y,80,38,Human Resources,Laboratory Technician,Non-Travel,Married,18924,3,4,3,3,No
23,Y,80,50,Sales,Manager,Non-Travel,Single,7131,4,2,3,3,No
24,Y,80,29,Research & Development,Sales Executive,Travel_Frequently,Married,10697,1,9,1,3,No
25,Y,80,39,Research & Development,Research Scientist,Travel_Rarely,Single,19513,2,18,4,3,No
26,Y,80,42,Sales,Research Scientist,Non-Travel,Single,12271,4,4,1,3,No
27,Y,80,44,Sales,Manager,Travel_Frequently,Divorced,5145,4,6,3,3,No
28,Y,80,59,Sales,Sales Executive,Non-Travel,Divorced,15100,2,13,1,3,No
29,Y,80,45,Research & Development,Manufacturing Director,Non-Travel,Divorced,6067,1,2,2,3,No
30,Y,80,33,Research & Development,Laboratory Technician,Travel_Rarely,Married,6195,1,12,2,3,Yes
31,Y,80,32,Sales,Sales Executive,Travel_Rarely,Divorced,11244,4,12,1,3,No
32,Y,80,20,Research & Development,Research Scientist,Non-Travel,Single,9281,3,9,4,3,No
33,Y,80,54,Sales,Manager,Travel_Frequently,Divorced,4509,4,1,1,3,No
34,Y,80,24,Research & Development,Manager,Travel_Rarely,Divorced,17502,2,5,1,3,No
35,Y,80,38,Sales,Laboratory Technician,Non-Travel,Married,8533,2,7,4,3,No
36,Y,80,26,Sales,Manager,Travel_Rarely,Married,19065,2,3,4,3,No
37,Y,80,56,Sales,Manager,Travel_Rarely,Single,16670,4,11,4,3,No
38,Y,80,35,Research & Development,Sales Executive,Travel_Rarely,Married,5932,4,14,2,3,No
39,Y,80,21,Research & Development,Manufacturing Director,Non-Travel,Divorced,16595,1,7,1,4,No
40,Y,80,42,Research & Development,Laboratory Technician,Travel_Frequently,Married,15041,3,6,3,3,No
41,Y,80,31,Sales,Sales Executive,Travel_Frequently,Single,7560,4,13,4,4,No
42,Y,80,26,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,6016,1,18,4,3,Yes
43,Y,80,43,Research & Development,Sales Executive,Travel_Rarely,Single,2719,4,13,1,3,No
44,Y,80,19,Sales,Sales Executive,Non-Travel,Married,2074,1,12,3,3,No
45,Y,80,37,Research & Development,Manager,Travel_Rarely,Married,15161,1,0,1,3,Yes
46,Y,80,45,Human Resources,Manufacturing Director,Travel_Frequently,Single,4149,3,18,1,3,No
47,Y,80,24,Sales,Laboratory Technician,Travel_Frequently,Divorced,16033,4,0,4,3,No
48,Y,80,25,Research & Development,Laboratory Technician,Non-Travel,Married,6207,1,3,4,3,No
49,Y,80,52,Research & Development,Manufacturing Director,Travel_Rarely,Married,17043,2,9,2,3,Yes
50,Y,80,31,Research & Development,Manager,Travel_Frequently,Divorced,11078,2,2,3,3,No
51,Y,80,34,Sales,Research Scientist,Non-Travel,Married,13725,2,19,3,4,No
52,Y,80,53,Sales,Sales Executive,Travel_Rarely,Single,5936,3,8,4,3,No
53,Y,80,57,Research & Development,Manager,Travel_Rarely,Married,11307,1,2,4,3,Yes
54,Y,80,21,Human Resources,Manufacturing Director,Travel_Frequently,Married,19459,3,5,4,3,Yes
55,Y,80,19,Research & Development,Sales Executive,Travel_Frequently,Divorced,6615,4,5,3,3,No
56,Y,80,23,Research & Development,Laboratory Technician,Travel_Rarely,Single,9265,4,11,2,4,No
57,Y,80,59,Research & Development,Research Scientist,Travel_Rarely,Divorced,12116,1,0,3,4,No
58,Y,80,21,Research & Development,Laboratory Technician,Travel_Frequently,Married,17733,2,15,4,3,No
59,Y,80,46,Research & Development,Manufacturing Director,Travel_Rarely,Married,15892,1,4,4,3,Yes
60,Y,80,35,Sales,Sales Executive,Travel_Frequently,Divorced,6652,1,8,2,3,No
61,Y,80,43,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,12473,1,9,1,3,No
62,Y,80,51,Research & Development,Sales Executive,Travel_Frequently,Divorced,11247,3,12,1,4,No
63,Y,80,27,Research & Development,Manager,Non-Travel,Single,18925,4,14,3,3,No
64,Y,80,53,Sales,Research Scientist,Travel_Frequently,Married,4161,1,11,1,3,No
65,Y,80,31,Sales,Manager,Travel_Frequently,Divorced,16588,1,4,1,3,Yes
66,Y,80,48,Sales,Manager,Non-Travel,Married,14061,1,4,3,3,No
67,Y,80,32,Research & Development,Manufacturing Director,Travel_Rarely,Single,8041,3,17,4,4,No
68,Y,80,25,Human Resources,Research Scientist,Non-Travel,Single,14673,3,11,1,3,No
69,Y,80,31,Sales,Sales Executive,Travel_Frequently,Single,3560,3,2,4,3,No
70,Y,80,40,Research & Development,Sales Executive,Travel_Rarely,Single,13954,1,6,3,3,No
71,Y,80,57,Research & Development,Laboratory Technician,Non-Travel,Married,19548,2,16,4,3,No
72,Y,80,38,Research & Development,Sales Executive,Travel_Rarely,Single,17078,2,18,4,3,Yes
73,Y,80,33,Sales,Manufacturing Director,Travel_Rarely,Single,7419,2,17,3,4,No
74,Y,80,35,Research & Development,Manager,Non-Travel,Divorced,4722,4,0,4,3,No
75,Y,80,41,Research & Development,Manager,Travel_Rarely,Single,12550,1,4,1,3,No
76,Y,80,43,Sales,Manager,Non-Travel,Divorced,18854,2,1,1,3,No
77,Y,80,42,Sales,Research Scientist,Travel_Frequently,Single,3468,2,0,1,3,Yes
78,Y,80,58,Research & Development,Sales Executive,Travel_Rarely,Single,2808,2,6,1,4,No
79,Y,80,46,Human Resources,Manufacturing Director,Travel_Frequently,Divorced,8719,1,10,4,3,No
80,Y,80,32,Sales,Research Scientist,Travel_Frequently,Single,18363,2,10,1,3,No
81,Y,80,18,Research & Development,Laboratory Technician,Travel_Rarely,Married,12591,2,17,4,3,No
82,Y,80,42,Human Resources,Manufacturing Director,Non-Travel,Married,7073,1,16,2,3,No
83,Y,80,24,Research & Development,Manufacturing Director,Travel_Rarely,Single,10012,4,1,4,3,No
84,Y,80,26,Human Resources,Manufacturing Director,Travel_Frequently,Married,15892,3,6,1,3,No
85,Y,80,41,Research & Development,Manager,Travel_Frequently,Divorced,10249,2,6,2,3,No
86,Y,80,18,Research & Development,Manufacturing Director,Non-Travel,Single,19513,3,9,3,3,No
87,Y,80,25,Research & Development,Sales Executive,Travel_Rarely,Single,17147,4,2,4,3,No
88,Y,80,41,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,19737,4,11,1,4,No
89,Y,80,28,Research & Development,Manager,Travel_Frequently,Divorced,2767,2,2,1,3,No
90,Y,80,34,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,5895,1,10,1,3,No
91,Y,80,25,Sales,Laboratory Technician,Non-Travel,Single,12200,4,11,3,3,Yes
92,Y,80,52,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,9329,3,3,2,3,No
93,Y,80,52,Research & Development,Manager,Travel_Frequently,Divorced,17332,3,15,2,3,No
94,Y,80,50,Research & Development,Sales Executive,Travel_Rarely,Married,16621,3,19,1,3,No
95,Y,80,22,Research & Development,Sales Executive,Travel_Rarely,Married,13334,3,17,4,3,No
96,Y,80,59,Research & Development,Research Scientist,Travel_Frequently,Single,2885,4,3,1,3,No
97,Y,80,56,Sales,Manager,Travel_Frequently,Married,9734,2,5,1,3,Yes
